,base_name,date,datetime,developmental_stage,full_name,is_manual
36,15_07_23_V_earlyL2_Ch1_23072015_150002,2015-07-23,15:00:02,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_07_23/15_07_23_V_earlyL2_Ch1_23072015_150002_features.hdf5,False
37,15_07_23_W_earlyL2_Ch1_24072015_123757,2015-07-24,12:37:57,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_07_24/15_07_23_W_earlyL2_Ch1_24072015_123757_features.hdf5,False
38,15_07_24_X_earlyL2_Ch1_24072015_144325,2015-07-24,14:43:25,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_07_24/15_07_24_X_earlyL2_Ch1_24072015_144325_features.hdf5,False
39,15_08_11_D2_earlyL2_Ch1_11082015_151823,2015-08-11,15:18:23,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/15_08_11/15_08_11_D2_earlyL2_Ch1_11082015_151823_features.hdf5,False
41,M3_L2_2.0_Ch1_23062016_170317,2016-06-23,17:03:17,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_06_23/M3_L2_2.0_Ch1_23062016_170317_features.hdf5,False
42,T3_L2_2.0_Ch1_15072016_122729,2016-07-15,12:27:29,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_07_15/T3_L2_2.0_Ch1_15072016_122729_features.hdf5,False
43,U3_L2_2.0_Ch1_15072016_150343,2016-07-15,15:03:43,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_07_15/U3_L2_2.0_Ch1_15072016_150343_features.hdf5,False
44,F4_L2_2.0_Ch1_29072016_144138,2016-07-29,14:41:38,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_07_29/F4_L2_2.0_Ch1_29072016_144138_features.hdf5,False
45,G4_L2_2.0_Ch1_02082016_162041,2016-08-02,16:20:41,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_08_02/G4_L2_2.0_Ch1_02082016_162041_features.hdf5,False
46,I4_L2_2.0_Ch1_03082016_103118,2016-08-03,10:31:18,L2,/Users/ajaver/Desktop/Videos/pratheeban/Results/L2/16_08_03/I4_L2_2.0_Ch1_03082016_103118_features.hdf5,False
47,15_07_07_A1_earlyL3_Ch1_08072015_091412,2015-07-08,09:14:12,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_07_08/15_07_07_A1_earlyL3_Ch1_08072015_091412_features.hdf5,False
48,15_07_07_C_earlyL3_Ch1_08072015_135945,2015-07-08,13:59:45,L3,/Users/ajaver/Desktop/Videos/pratheeban/Results/L3/15_07_08/15_07_07_C_earlyL3_Ch1_08072015_135945_features.hdf5,False
