base_name,date,developmental_stage,file_name,is_manual,time
W3_earlyL1_2.0_Ch1_20072016_130640,2016-07-20,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_20/W3_earlyL1_2.0_Ch1_20072016_130640_features.hdf5,False,13:06:40
X3_earlyL1_2.0_Ch1_20072016_161147,2016-07-20,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_20/X3_earlyL1_2.0_Ch1_20072016_161147_features.hdf5,False,16:11:47
Z3_earlyL1_2.0_Ch1_22072016_154908,2016-07-22,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_22/Z3_earlyL1_2.0_Ch1_22072016_154908_features.hdf5,False,15:49:08
15_07_14_J_lateL1_Ch1_15072015_083805,2015-07-15,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_15/15_07_14_J_lateL1_Ch1_15072015_083805_feat_manual.hdf5,True,08:38:05
15_07_14_J_lateL1_Ch1_15072015_083805,2015-07-15,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_15/15_07_14_J_lateL1_Ch1_15072015_083805_features.hdf5,False,08:38:05
15_07_15_L_lateL1_Ch1_16072015_085152,2015-07-16,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_16/15_07_15_L_lateL1_Ch1_16072015_085152_feat_manual.hdf5,True,08:51:52
15_07_15_L_lateL1_Ch1_16072015_085152,2015-07-16,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_16/15_07_15_L_lateL1_Ch1_16072015_085152_features.hdf5,False,08:51:52
15_07_20_P_lateL1_Ch1_21072015_082841,2015-07-21,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_21/15_07_20_P_lateL1_Ch1_21072015_082841_features.hdf5,False,08:28:41
15_07_22_U_lateL1_Ch1_23072015_083043,2015-07-23,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_23/15_07_22_U_lateL1_Ch1_23072015_083043_feat_manual.hdf5,True,08:30:43
15_07_22_U_lateL1_Ch1_23072015_083043,2015-07-23,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_23/15_07_22_U_lateL1_Ch1_23072015_083043_features.hdf5,False,08:30:43
15_07_22_V_lateL1_Ch1_23072015_104115,2015-07-23,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_23/15_07_22_V_lateL1_Ch1_23072015_104115_features.hdf5,False,10:41:15
