Strain in files,,
flp-3 (pk361), 2013_04_25__10_11_33 || 2013_04_25__12_45_21,
IL2 cam RB2005, 2015_09_03__18_02_00 || 2015_09_11__12_25_49,
RB557 cameleon IL2 3, RB557 cameleon IL2 3on food R_2015_08_20__16_59_50___5___5,
RB1237, 2011_01_27__11_23 || 2011_01_27__13_17,
AQ3437, 2015_11_11__15_00_06 || 2016_02_04__12_51_36,
unc-73 (lf) nca-1 (gf), 2012_09_04__10_13_37 || 2012_09_25__12_22_04,
342.2, 2015_09_02__14_45_08 || 2015_10_23__13_27_54,
trpa-1 (ok999); osm-9 (ky10), trpa-1 (ok999); osm-9 (ky10) off food_2010_04_30__11_50_34___4___2,
daf-2 (e1370) dauer, 2012_02_10__09_34_22 || 2012_02_10__09_36_49,
tcht-1, 2014_12_05__12_19_51 || 2015_07_21__16_26_12,
t28f2.7 (ok2657)I, 2015_02_06__11_49_52 || 2015_02_06__12_11_11,
flp-6 (pk1593), 2013_02_28__11_08_33 || 2013_02_28__13_25_42,
PLG119, 2015_03_19__11_05_57 || 2015_11_06__12_41_48,
Qt825 nca-1 nRHO-1 nNCA-1 Ex[acr-2 mcherry], 2012_09_04__10_10_06 || 2012_09_25__12_17_29,
AQ3000, 2012_04_17__15_18_53 || 2012_04_17__15_42_26,
unc-73 (lf), 2012_09_04__10_06_43 || 2012_09_25__12_17_53,
AQ1062, 2011_06_14__16_03_57 || 2011_06_14__16_06_11,
CF2027 Q40; def-2 (e1570), 2011_06_30__11_18 || 2011_06_30__13_20,
flp-18 (ko1694), 2013_03_26__11_48_31 || 2013_03_26__12_28_41,
flp-16 (ok3985), 2013_03_21__10_32_29 || 2013_04_25__12_11_39,
lr342.2, 2015_09_02__15_21_39 || 2015_10_15__14_21_19,
flp-13 (tm2448), 2013_02_28__11_04_43 || 2013_03_26__11_28_44,
ocr-3 (ok1557), 2010_04_28__11_01_12 || 2010_04_28__12_46_30,
AQ2458, 2011_05_25__10_01_09 || 2011_06_14__16_05_33,
RB557 IL2 cam 1, 2015_08_20__17_44_32 || 2015_08_20__18_05_39,
cr-3 (ok1557), cr-3 (ok1557) off food _2010_04_28__15_23_18___8___3,
flp-4 (yu35), 2013_02_28__11_09_14 || 2013_03_26__11_28_32,
flp-20 (pk1596), 2013_02_28__11_03_21 || 2013_02_28__13_26_14,
